character,four_corner
虹,51112
隘,78212
成,53200
楚,44801
掩,54016
煮,44336
柿,40927
岩,22602
徙,21281
滑,37127
讹,34710
姑,44460
怠,23336
去,40732
惶,96014
忙,90010
询,37720
肋,74227
次,37182
躏,64127
尚,90227
死,10212
刘,02400
粥,17227
讶,31740
蕴,44112
吩,68027
历,71227
看,20605
吗,67027
买,17804
陌,71262
谓,36727
芽,44241
法,34132
庄,00214
魁,24510
旭,46010
绽,23181
齐,00224
嫩,48440
赃,70814
裳,90732
江,31112
远,31301
闰,37104
逾,38302
统,20112
龄,28732
间,37601
思,60330
替,55608
羊,80501
琅,13132
同,77220
疯,00117
醉,10648
找,53050
允,23212
宅,30714
诲,38757
虐,21214
箕,88801
姻,46400
汞,10902
堂,90104
夯,40427
浦,33127
旱,60401
梦,44207
罕,37401
择,57054
颓,21282
械,43950
谚,30722
丧,40732
精,95927
预,11282
钮,87712
硝,19627
隔,71227
瑟,11334
唉,63084
亡,00710
纠,22100
锥,80715
埃,43184
愁,29338
夜,00247
痹,00121
羡,80182
矩,81817
杨,47927
坚,27104
餐,27732
袱,33284
巡,32303
退,37303
贻,73860
澳,37184
客,30604
溯,37120
奴,47440
丁,10200
柱,40914
噪,66094
腿,77233
缠,20115
兽,80601
巷,44717
赣,07482
邪,77227
蛀,50114
弓,17027
疏,10112
废,00247
夏,10407
淌,39127
引,12200
灌,34115
挨,53084
稠,27920
骄,72128
努,47427
匈,27720
率,00403
绑,27127
鲫,27120
陆,75272
蚓,52100
胸,77220
隧,78233
沫,35190
穆,26922
承,17232
蝗,56114
丹,77440
斌,03440
尴,48011
许,38740
谎,34712
淫,32114
凿,32772
昼,77106
寨,30904
勘,44727
羔,80331
活,32164
鸟,27127
奶,47427
编,23127
毛,20714
西,10604
价,28220
琴,11207
祟,22901
蜒,52141
颗,61982
治,33160
扳,52047
拙,52072
苗,44600
温,36112
祠,37220
戎,53400
豁,38668
彭,42122
弦,10232
沿,37161
馁,22744
混,36112
调,37720
朽,41927
侈,27227
钢,87720
恒,91016
魔,00213
键,85740
葵,44804
迎,37302
情,95027
菌,44600
罩,60406
脾,76240
禄,37299
馨,47609
励,74227
英,44805
瞭,64096
仿,20227
橡,47932
揣,52027
挖,53017
瓷,37717
岳,72772
琢,11132
即,77720
贺,46802
乏,20302
视,37212
尽,77303
窗,30602
谷,80608
苍,44712
氮,80817
瞒,64027
湿,36112
休,24290
琉,10112
充,00212
赢,00217
搁,57020
絮,46903
珍,18122
剃,82200
茶,44904
巨,71717
伦,28212
初,37220
宋,30904
穴,30802
银,87732
牛,25000
蜗,56127
配,17617
搔,57036
泌,33104
厌,71284
渠,31904
荔,44427
仗,25200
广,00200
铲,80701
嘹,64096
厦,71247
淋,34190
纸,22140
店,00261
嘛,60094
颅,21282
苹,44409
忆,97010
翅,47402
庐,00207
坦,46110
鞭,41546
奠,80804
母,77750
耻,11410
盹,65017
括,52064
蔚,44240
啼,60027
吏,50006
俄,23250
篷,88305
镜,80712
华,24401
涧,37120
斗,34000
逗,31301
翰,48427
优,23212
揭,56027
垫,55104
烁,92894
抽,55060
访,30727
抹,55090
管,88777
使,25206
税,28912
冶,33160
杂,40904
渊,32100
阀,37253
风,77210
阎,37777
践,63150
韧,57020
钓,87720
均,47120
蒸,44331
狰,47257
玻,14147
菇,44464
霉,10757
鹤,47227
若,44604
低,22240
锻,87747
席,00227
走,40801
罢,60732
释,27954
做,28240
棠,90904
稚,20915
艇,22441
