character,four_corner
汐,37120
茼,44227
鑦,87186
皂,26714
頳,41286
通,37302
鄯,87627
杻,47912
鶕,07627
亾,28710
扫,57070
虥,23253
煷,90817
鲇,21160
挃,51014
榴,47962
猉,44281
騬,72391
儎,23250
港,34117
厊,71241
麃,00231
胶,70248
户,30207
筇,88127
戅,01338
鞪,18506
斓,07420
镆,84784
楰,47987
铩,84794
倚,24221
暆,68012
旵,60772
俍,23232
宲,30904
蔓,44407
蚚,52121
莇,44127
黩,64384
坚,27104
腨,72227
顐,31586
珺,17167
乑,20902
诐,34747
鞟,40547
蚅,51112
贘,69886
朼,42910
宺,30212
瓇,11147
虸,57147
液,30147
蠩,54160
洵,37120
墕,41127
楌,40922
芏,44104
斐,11400
隘,78212
翕,80127
拜,21550
鏛,89127
邃,33303
骪,77210
旐,08213
廰,00236
懚,92037
脤,71232
欳,27282
腀,78227
筪,88715
袒,36210
変,00407
鳘,88106
陌,71262
濍,34132
账,72834
叽,67010
禷,31286
墧,42127
蒙,44232
躖,62170
孧,24407
晸,60148
髝,09227
蹐,62127
镨,88761
煁,94818
劶,74227
齉,25232
暬,45601
诶,33784
虙,21234
夭,20804
瘪,00112
霖,10994
绐,23160
鶃,27312
宅,30714
垖,47177
晭,67020
雪,10177
泼,33147
惧,97081
萜,44261
磾,16656
醒,16615
歬,21447
馘,83650
葪,44202
痧,00129
銈,84114
亡,00710
欴,37782
鷭,27627
盩,48102
羃,60227
踥,60144
帙,45280
穙,22985
逵,34301
旿,68040
菘,44932
嬤,40432
视,37212
鞢,44594
匕,22710
肿,75206
雗,48415
緅,27940
粱,33904
蝜,57186
挚,55502
峻,23747
琭,17199
笙,88105
祭,27901
邾,27927
魡,27320
阨,71212
宵,30227
圄,60601
楈,47927
嘙,64044
鈩,83107
簙,88442
士,40100
絾,23950
玦,15180
泺,32194
惘,97020
濸,34167
煶,96881
鲕,21127
贯,77802
皩,26112
阣,78217
偒,26227
瀺,37113
絋,20932
鳂,26132
窉,30227
撔,56096
鋂,88157
蜵,52100
訾,22601
炍,92847
羮,80805
类,90804
朰,40717
昶,36900
锨,87782
哗,64041
暡,68027
糗,96984
溱,35194
溤,31127
荐,44247
粥,17227
矽,17620
琰,19189
娹,40432
亭,00201
圞,60904
罚,60720
旺,61014
嵉,20721
蚭,57112
挀,52032
垶,40141
冧,37994
扆,30232
駓,71319
婥,41446
岢,22621
裎,36214
犜,28540
茏,44414
懀,98066
豇,11112
恰,98061
婇,42494
鷤,67527
暐,64056
垫,55104
爘,97832
魸,22327
頥,21086
镑,80727
缦,26147
浺,35106
埑,52104
郃,87627
磇,16612
雩,10027
鳆,28147
窻,30336
结,24161
睃,63047
婈,44447
僐,28261
襱,31211
膨,72222
疏,10112
涧,37120
助,74127
启,30267
莻,44612
穼,30904
妞,47412
些,22101
如,46400
茹,44460
踞,67164
搜,57047
朥,79227
臵,17164
嫌,48437
搭,54061
喣,67332
篾,88253
砸,11612
陞,74214
哐,61011
厞,71211
牠,24512
舙,20664
蔚,44240
齓,22710
堷,40161
酱,37604
烎,10809
嫙,48481
逕,31301
窕,30113
碆,34602
鑀,82147
邩,97827
躹,27220
六,00800
錥,80127
难,70415
劂,72200
癁,00147
鑗,87199
漞,32112
媇,40494
避,30304
麧,48417
虖,21249
荙,44308
篽,88227
瞌,64012
洯,57902
魉,21512
涹,32144
篟,88227
暰,68081
葐,44102
鼼,22200
巨,71717
铐,84727
堼,44104
嵜,22621
杌,41912
燊,90904
蟿,57136
顗,21186
缶,80772
罊,57772
裾,37264
汛,37110
褒,00732
骰,77247
搾,53011
揨,50021
魬,22347
唂,68068
瀽,33181
奞,40215
桫,49920
綷,20948
犎,44500
皭,22646
飕,77214
醁,17699
箖,88994
诒,33760
舴,28411
逊,39300
坲,45127
缹,80337
罽,60221
麉,11212
豝,17217
抿,57047
传,25232
财,74800
蛾,53150
奏,50804
熬,58334
檀,40916
罜,60104
跖,61162
姛,47420
洣,39194
桘,47977
沷,33147
曞,61027
祆,31284
徃,25210
万,10227
砟,18611
鎀,87122
袉,33212
亖,10101
剌,52900
鰀,22347
罀,82713
檆,41962
褞,36212
剫,02200
椣,45981
湔,38121
颈,11182
媴,44432
鄞,47127
阐,37506
蹑,61147
妃,47417
偡,24218
虀,44101
凶,22770
蓚,44222
圡,40103
遡,37302
译,37754
阕,37804
乡,20202
弸,17220
凅,36100
炓,94800
饛,84732
监,28102
鳖,98106
襕,37220
扅,30227
埼,44121
仏,22230
毋,77550
蒭,44427
枼,44904
獀,47247
聦,17432
溿,39150
滔,32177
莪,44553
窾,30982
纭,21132
痛,00127
戨,13650
藬,44286
譈,08640
窤,30712
爣,99831
侪,20224
甬,17227
箝,88574
凪,77210
灶,94810
躸,24221
峙,24741
藽,44912
襷,37252
俵,25232
匮,71718
蜂,57154
迷,39309
饵,21740
毗,62010
评,31749
珍,18122
摧,52015
筟,88407
恵,50330
笶,88804
斖,00102
缎,27147
圚,60806
髭,72112
軓,57010
詃,00632
宱,30211
謟,02677
峒,27720
嘻,64061
兔,27413
俎,87812
枲,23904
墹,47120
璨,17194
啖,69089
嬲,66427
逺,34303
菏,44121
囥,60217
佸,22264
醥,11691
夛,17207
锐,88712
悴,90048
糸,22903
窞,30777
宨,30113
艖,28412
蓹,44227
彁,11221
炢,93894
抄,59020
敾,88640
畴,65040
龛,80414
黑,60331
氪,80217
秊,20402
瓋,10132
鑍,66109
敀,28640
节,44227
跳,62113
蹎,64181
歘,97882
駣,72313
呠,65030
讷,34727
昒,67020
钊,82700
饲,27720
眬,63014
沘,32110
隶,50909
瞂,73247
睌,67012
鍜,87147
求,43909
韨,53047
葡,44227
吁,61040
孡,13460
戼,11777
縎,27927
嚚,66661
赙,73842
瘱,00138
疅,61016
售,20601
凔,38167
囘,77220
楻,46914
傞,28212
褡,34261
炜,95827
垪,48141
忄,90000
秼,25990
禢,36227
典,55801
拖,58012
濷,12127
黁,00269
瞛,68081
勺,27320
榈,47920
噟,00261
矬,88814
羍,40501
告,24601
赪,41282
姆,47450
嬩,47481
嚢,50732
突,30804
砌,17620
貜,26247
窎,30127
顟,11286
罆,87786
櫢,48940
熝,90812
芮,44227
仗,25200
乨,22610
榰,44961
桛,41931
埘,44100
忧,93012
酲,16614
祊,30227
仴,27220
绥,22144
聙,15427
栚,48984
凒,32118
艑,23427
喝,66027
癯,00115
旳,67020
嘕,61027
髗,71212
蕯,44215
擈,52095
瞙,64084
舿,24427
诮,39727
鵭,87127
捅,57027
繟,26956
蛫,57112
雘,74447
苦,44604
顄,11786
搛,58037
镩,83756
鳎,26127
碃,15627
覅,17420
闵,37400
胄,50227
樦,48914
唱,66060
搦,57027
獣,93684
蛭,51114
忤,98040
趾,61110
蛚,52100
跐,62110
濲,37147
廪,00291
蚡,58127
封,44100
週,37302
饧,27727
趷,68117
蜼,50115
獍,40212
铺,83727
锱,82763
礳,10662
蓒,44541
亦,00230
俻,27264
嫴,44441
檫,43991
櫉,41940
帖,41260
緭,26927
鸪,47627
氾,37112
邬,27127
柁,43912
还,31309
哙,68032
跟,67132
汽,38117
哩,66015
猃,48219
嗪,65094
蚽,51119
羉,60993
讔,02637
冏,77608
杈,47943
貙,21216
忠,50336
榝,47947
瑵,17136
谅,30796
酋,80604
硝,19627
驞,73386
銵,87140
鉃,88184
纪,27117
蔵,44253
祶,38227
鄡,27927
喏,64064
阡,72240
陆,75272
蟐,59127
禟,30265
侾,24247
恷,24339
漥,33114
踕,65181
吘,68040
櫍,42986
蔶,44806
诃,31720
氯,80917
鑳,83181
碶,17684
柬,50906
侬,24232
熀,96812
迥,37302
廋,00247
羳,82569
軖,51014
燡,96841
奛,40627
甑,81617
嫓,47412
訞,02684
旪,64000
瀯,39166
輴,52064
瞀,18604
亨,00207
玁,46248
澳,37184
筑,88117
腍,78232
砽,17620
煏,91866
嚫,66012
诤,37757
唨,67012
沾,31160
瀍,30114
衠,21221
袥,31262
璚,17127
陓,74227
歉,87282
鷋,47927
鬶,57227
泑,34127
诌,37777
檗,70904
朽,41927
笀,88710
簬,88164
扑,53000
爴,62130
髍,70294
竆,30466
罖,60308
箊,88233
伊,27207
足,60801
妻,50404
颺,76212
珱,19144
鬤,72732
歝,67482
瓭,41017
檠,48904
虚,21212
啄,61032
絗,26900
鴃,25380
祚,38211
骺,72261
柏,46902
争,27507
疤,00117
嗿,68086
懦,91027
褽,74732
牁,21220
鋹,81132
阙,37482
罒,60000
稚,20915
胈,73247
拱,54081
峅,23740
申,50006
謸,08640
硳,14631
簆,88214
爼,47412
鸄,28327
鼎,22227
緎,23950
坒,22104
拦,58011
鄘,07227
脢,78257
绢,26127
惎,44338
痎,00182
罿,60105
辱,71343
塰,38104
缫,22194
佲,27262
舤,27410
鳅,29180
兜,77212
准,30115
坣,90104
厉,71227
儊,24281
鯚,22347
瀥,37127
礅,18640
劦,40427
羲,80253
鄏,77327
篓,88404
弄,10441
叛,92547
冶,33160
丑,17102
嘘,61012
钉,81720
煚,61809
枊,47920
樃,47920
頟,21686
虇,44215
湚,32110
傺,27291
凥,77217
踀,66181
痾,00121
姲,43444
鐗,87120
蜽,51127
拟,58000
槣,43921
悀,97027
鵫,27427
耄,44714
券,90227
惗,98032
醮,10631
馇,24716
焮,97882
憬,96096
庲,00298
牮,23504
嫦,49427
泗,36100
睯,78604
鮔,21317
厠,71220
矛,17222
鷬,47827
糿,27920
烳,93827
逘,33308
濑,37182
樾,43985
霯,10108
颹,74215
勬,94927
氽,80902
訸,02694
綼,26940
匂,27720
羚,88532
筓,88441
遄,32302
冰,32190
认,38700
椬,43912
欁,44990
塯,47162
疁,67022
堋,47120
霘,10127
楀,42927
胀,72234
栐,43992
蜠,56100
騈,72341
谍,34794
宝,30103
鸶,22127
笢,88747
篎,88629
滦,30194
刕,17227
侍,24241
牦,22514
鄪,57827
掔,77502
椰,47927
冊,77440
猯,42227
莗,44506
鳑,20127
鎓,88127
妡,42421
郮,77227
龒,01901
桷,47927
濵,33186
铋,83704
莆,44227
硡,13632
忛,97010
舋,77102
鲍,27112
塨,44138
父,80400
嫈,99404
筅,88212
泆,35180
尞,40906
溙,35199
葴,44253
榧,41911
劳,44427
桬,39904
榑,43942
陊,77227
嗽,67082
汌,32100
蛬,44136
叿,61012
霸,10527
騵,71396
笳,88463
檧,44932
釲,87117
桗,47994
誫,01632
革,44506
贑,01486
眍,61014
訫,03600
膼,77232
憏,97091
埸,46127
庳,00246
塦,75104
殔,15299
嗧,46227
咾,64012
徏,21221
跇,64117
忸,97012
五,10102
鑙,83161
螐,57127
赭,44260
嚪,67020
叐,20407
肤,75280
刧,47720
袭,43732
鸠,47027
屯,50717
呜,67027
坔,12104
潉,32112
帽,46260
塺,00214
纸,22140
叁,23101
瓠,42230
麝,00241
锈,82727
腶,77247
騑,71311
緘,23950
毯,29718
彣,02402
架,46904
墇,40146
隍,76214
菽,44947
氁,24718
畼,66027
昐,68027
洷,31114
饄,89714
匿,71716
侭,27233
纄,24935
觋,17112
愈,80332
蚝,52114
歳,21253
翪,12147
邮,57627
服,77247
贳,44802
